variable,best_overall_model,best_overall_AICc,primary_model,primary_AICc,primary_delta_from_best,reconstruction_model,transform_parameter,transform_status,root_estimate,root_variance,root_variance_source,CI_low,CI_high,reconstruction_status,reconstruction_error,reconstruction_fallback_reason,sensitivity_model,sensitivity_root_estimate,sensitivity_status,sensitivity_error,n_valid_values,n_unique_values,extant_mean,extant_sd,extant_min,extant_max,extant_range,CI_width,CI_width_to_extant_range,CI_spans_nearly_whole_extant_range,CI_extremely_wide,root_lies_within_extant_observed_range,standardized_root_position_relative_to_extant_mean_SD,root_position_relative_to_extant_distribution,ecologically_plausible_rule,interpretability_flag,variable_interpretation_class,contributes_to_main_root_estimate,contributes_to_uncertainty_ellipse
annual_mean_temperature,lambda,103062.50982046372,lambda,103062.50982046372,0,lambda_fastAnc,0.933278,lambdaTree_fastAnc,207.15525215085657,3432.1706816850933,fastAnc_root_variance,92.32917980332108,321.98132449839204,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,197.96310286011715,69.8488557933061,-140.6891976,295.3633273,436.0525249,229.65214469507094,0.5266616556061385,FALSE,FALSE,TRUE,0.13160057078014933,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
annual_precipitation,lambda,154604.51549351556,lambda,154604.51549351556,0,lambda_fastAnc,0.911117,lambdaTree_fastAnc,1340.1461700804864,606478.1754555525,fastAnc_root_variance,-186.23732001302574,2866.5296601739983,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,1677.4524657519073,949.469274758837,12.03688288,5880.875859,5868.83897612,3052.7669801870243,0.520165401131054,FALSE,FALSE,TRUE,-0.3552577262251019,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
maximum_temperature_warmest_month,lambda,97873.73466549734,lambda,97873.73466549734,0,lambda_fastAnc,0.919498,lambdaTree_fastAnc,287.22017398411737,1780.0131379853024,fastAnc_root_variance,204.5273782224288,369.9129697458059,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9612,273.2172583301351,48.76730837968729,55.30423449,457.4079083,402.10367381,165.38559152337712,0.4113008716292512,FALSE,FALSE,TRUE,0.2871373491634981,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
mean_temperature_coldest_quarter,lambda,111003.13512859588,lambda,111003.13512859588,0,lambda_fastAnc,0.930474,lambdaTree_fastAnc,168.01755071998247,7641.439151625435,fastAnc_root_variance,-3.316487476997736,339.35158891696267,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,159.17154379417326,105.80217996198637,-360.7345677,272.7194592,633.4540269,342.6680763939604,0.5409517689403773,FALSE,FALSE,TRUE,0.0836089287478527,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
mean_temperature_driest_quarter,lambda,109498.0116501161,lambda,109498.0116501161,0,lambda_fastAnc,0.914901,lambdaTree_fastAnc,190.6853815314538,5745.5495498591,fastAnc_root_variance,42.118550944210256,339.25221211869734,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,180.02672249982922,93.46946208284812,-314.1595244,375.0176658,689.1771902,297.1336611744871,0.4311426225355174,FALSE,FALSE,TRUE,0.11403359764900659,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
minimum_temperature_coldest_month,lambda,112260.89457268707,lambda,112260.89457268707,0,lambda_fastAnc,0.928897,lambdaTree_fastAnc,124.44243737467625,8589.54113037027,fastAnc_root_variance,-57.209926238986725,306.0948009883392,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,119.96553611002606,112.9094804359591,-391.8223747,264.9073254,656.7297001,363.30472722732594,0.5532028278483608,FALSE,FALSE,TRUE,0.03965035750199405,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
precipitation_in_coldest_quarter,lambda,135516.69840053283,lambda,135516.69840053283,0,lambda_fastAnc,0.77366,lambdaTree_fastAnc,282.3133519182683,38802.41844917414,fastAnc_root_variance,-103.77390598381186,668.4006098203486,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9611,340.72654437054445,306.32857428427513,0,2831.48007,2831.48007,772.1745158041604,0.27271056010087347,FALSE,FALSE,TRUE,-0.1906880302915139,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
precipitation_of_coldest_quarter,lambda,135516.69840046566,lambda,135516.69840046566,0,lambda_fastAnc,0.773662,lambdaTree_fastAnc,282.31324228254647,38802.758752988564,fastAnc_root_variance,-103.77570864130587,668.4021932063988,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9611,340.72654437054445,306.32857428427513,0,2831.48007,2831.48007,772.1779018477047,0.27271175595726677,FALSE,FALSE,TRUE,-0.19068838819388104,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
precipitation_of_wettest_quarter,lambda,136705.53718158937,lambda,136705.53718158937,0,lambda_fastAnc,0.887992,lambdaTree_fastAnc,590.853594000077,80152.37963805538,fastAnc_root_variance,35.954160212698184,1145.7530277874557,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,745.4035714030557,360.89616992956206,14.18072096,3580.17919,3565.9984690399997,1109.7988675747574,0.31121686596616116,FALSE,FALSE,TRUE,-0.4282394502361801,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
precipitation_wettest_month,lambda,116564.56155126124,lambda,116564.56155126124,0,lambda_fastAnc,0.883922,lambdaTree_fastAnc,207.7287862831359,9620.822432431843,fastAnc_root_variance,15.48063556009211,399.9769370061797,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,261.08491835201124,125.95641373937205,6.456250276,1339.929541,1333.473290724,384.4963014460876,0.2883419593933734,FALSE,FALSE,TRUE,-0.4236079012163637,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
temperature_annual_range,lambda,110942.81219048033,lambda,110942.81219048033,0,lambda_fastAnc,0.916039,lambdaTree_fastAnc,162.85489214182869,6736.221886698271,fastAnc_root_variance,1.9888920052551384,323.72089227840223,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9597,153.25087023957383,101.96411250014008,21.00012675,577.8424866,556.84235985,321.7320002731471,0.5777793204522264,FALSE,FALSE,TRUE,0.09419021719275655,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
temperature_seasonality,lambda,176483.70772186446,lambda,176483.70772186446,0,lambda_fastAnc,0.921302,lambdaTree_fastAnc,2649.4327186786786,6386342.886375723,fastAnc_root_variance,-2303.7253478785533,7602.5907852359105,ok,NA,NA,NA,NA,not_needed_best_overall_is_primary,NA,9621,9614,2661.3992119302493,3087.3559445402284,73.00492603,18168.75236,18095.74743397,9906.316133114464,0.5474389034916549,FALSE,FALSE,TRUE,-0.0038759681314791653,central_within_extant_distribution,plausible_within_extant_distribution,none,robust,TRUE,TRUE
